frame_id,track_count,active_track_ids,arm_velocity,body_velocity,fall_score,approach_velocity,risk_score,fused_score,state,active_rules,persistence_scores
126,3,2;3;1,7.8735,2.7489,0.4851,3.3411,0.3549,0.3549,NORMAL,CAMERA_RUSH;RAPID_APPROACH;DIRECTED_ARM_SWING;SUSTAINED_CONTACT,"{""[2, 3]"": 0.35493810830220013, ""[3]"": 0.2871023362326228}"
127,3,2;3;1,0.0000,0.0000,0.4851,0.0000,0.3265,0.3265,NORMAL,,"{""[2, 3]"": 0.32654305963802416, ""[3]"": 0.264134149334013}"
128,3,2;3;1,3.3225,1.2502,0.4337,-0.1640,0.3320,0.3320,NORMAL,SUSTAINED_CONTACT,"{""[2, 3]"": 0.33200121569839247, ""[3]"": 0.243003417387292}"
129,2,3;1,0.0000,0.0000,0.4337,0.0000,0.3054,0.3054,NORMAL,,"{""[2, 3]"": 0.3054411184425211, ""[3]"": 0.22356314399630867}"
130,2,3;1,3.5167,1.3200,0.4270,-0.9838,0.2810,0.2810,NORMAL,,"{""[2, 3]"": 0.2810058289671194, ""[3]"": 0.20567809247660399}"
131,2,3;1,0.0000,0.0000,0.4270,0.0000,0.2585,0.2585,NORMAL,,"{""[2, 3]"": 0.25852536264974985, ""[3]"": 0.18922384507847567}"
132,2,3;1,1.3578,0.6628,0.5331,-0.2760,0.2378,0.2378,NORMAL,,"{""[2, 3]"": 0.23784333363776985, ""[3]"": 0.17408593747219764}"
133,2,3;1,0.0000,0.0000,0.5331,0.0000,0.2188,0.2188,NORMAL,,"{""[2, 3]"": 0.2188158669467483, ""[3]"": 0.16015906247442183}"
134,2,3;1,1.0271,0.6291,0.4577,-0.0297,0.2013,0.2013,NORMAL,,"{""[2, 3]"": 0.20131059759100844, ""[3]"": 0.14734633747646808}"
135,2,3;1,0.0000,0.0000,0.4577,0.0000,0.1852,0.1852,NORMAL,,"{""[2, 3]"": 0.18520574978372778, ""[3]"": 0.13555863047835065}"
136,2,3;1,1.1067,1.1347,0.4472,-0.8708,0.1704,0.1704,NORMAL,,"{""[2, 3]"": 0.17038928980102958, ""[3]"": 0.1247139400400826}"
137,2,3;1,0.0000,0.0000,0.4472,0.0000,0.1568,0.1568,NORMAL,,"{""[2, 3]"": 0.1567581466169472, ""[3]"": 0.114736824836876}"
138,2,3;1,2.7951,1.1083,0.3815,0.4621,0.1442,0.1442,NORMAL,,"{""[2, 3]"": 0.14421749488759145, ""[3]"": 0.10555787884992593}"
